"","id","site_code","year","Channel","ChaUnit","dataset","Baetis.vernus","Platambus.maculatus","Potamopyrgus.antipodarum","Prodiamesa.olivacea","Chironomini.Gen.sp","Tanypodinae.Gen.sp","Chironomidae.Gen.sp","Brachycentrus.subnubilus","Cyrnus.trimaculatus","Hydroptila.sp","Asellus.aquaticus","Gammarus.pulex","Gammarus.roeselii","Serratella.ignita","Anabolia.nervosa","Calopteryx.virgo","Erpobdellidae.Gen.sp","Bithynia.tentaculata","Sphaerium.corneum","Tanytarsini.Gen.sp","Atrichops.crassipes","Lumbriculidae.Gen.sp","Rhyacophila.nubila","Aphelocheirus.aestivalis","Dicranota.sp","Lepidostoma.hirtum","Psychomyia.pusilla","Athripsodes.albifrons","Ancylus.fluviatilis","Gammarus.fossarum","Ephemera.danica","Heptagenia.sulphurea","Athripsodes.cinereus","Mystacides.azurea","Baetis.rhodani","Erpobdella.nigricollis","Lumbriculus.variegatus","Dendrocoelum.lacteum","Erpobdella.octoculata","Lype.reducta","Eiseniella.tetraedra","Hydropsyche.siltalai","Dugesia.gonocephala","Limoniidae.Gen.sp","Stylodrilus.heringianus","Oligochaeta.Gen.sp","Glossiphonia.complanata","Helobdella.stagnalis","Radix.balthica","Atherix.ibis","Oulimnius.tuberculatus","Tipula.sp","Limnius.volckmari","Orectochilus.villosus","Hydraena.gracilis","Micrasema.longulum","Limnephilus.sp","Anomalopterygella.chauviniana","Odontocerum.albicorne","Sialis.fuliginosa","Goera.pilosa","Enchytraeidae.Gen.sp","Torleya.major","Chelifera.sp","Clinocerinae.Gen.sp","Erpobdella.vilnensis","Silo.piceus","Psychodidae.Gen.sp","Silo.nigricornis","Caenis.sp","Habrophlebia.lauta","Potamophylax.rotundipennis","Hemerodromia.sp","Lepidostoma.basale","Isoperla.sp","Protonemura.sp","Polycentropus.irroratus","Lype.phaeopa","Ephemerella.mucronata","Hydropsyche.instabilis","Centroptilum.luteolum","Hydrachnidia.Gen.sp","Ceraclea.dissimilis","Electrogena.affinis","Habroleptoides.confusa","Baetis.lutheri","Baetis.niger","Simulium.variegatum","Ceraclea.albimacula","Limnius.perrisi","Limnephilidae.Gen.sp","Ecdyonurus.torrentis","dh4","fl1","ra4","th3","x","y"
"1",1,"sub21_21",2007,234,234,"Karan",0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,16.43,6,112.08,0.59,494119.6419,5554405.005
"2",2,"sub11_330",2005,52,52,"Karan",0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,3.33,27.5,294.29,0.82,531441.2497,5573328.285
"3",3,"sub11_312",2005,95,95,"Karan",0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0.1,27.5,292.36,0.82,532316.1702,5573403.279
"4",4,"sub10_53",2005,55,55,"Karan",0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.38,37.5,303.78,0.86,532841.1225,5573653.256
"5",5,"sub10_25",2005,57,57,"Karan",0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.34,37.5,302.74,0.86,533341.0771,5573903.233
"6",6,"sub03_878",2005,68,68,"Karan",0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.92,33.5,279.88,0.88,536540.7862,5576228.022
"7",7,"sub03_771",2005,73,73,"Karan",0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.89,33.5,279.32,0.88,537140.7317,5576852.965
"8",8,"sub03_702",2005,10,10,"Karan",0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1.55,33.5,278.28,0.88,537390.709,5577077.945
"9",9,"sub03_647",2005,11,11,"Karan",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1.55,33.5,277.94,0.88,537615.6885,5577177.936
"10",10,"sub03_566",2005,13,13,"Karan",0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0.81,35.5,272.26,0.88,538915.5704,5577427.913
